"","DATE","OBSERVER","ID","BOX","BTO","COMBINATION","RFID.GEN","RFID","CODE","EXACT","SEX","AGE","WING","TARSUS","WEIGHT","HEADBILL","BILL","BP","BLED.CORT","BLED.SEX","FEATHER","PARTNER.ID","MOTHER.ID","FATHER.ID","TIME","COMPANIONS","RFID.WORKS","RFID.CHANGED","AGGR","BITES","WRIG","TONIC","ATTEMPT","MOULT","LOCATION","NOTES","year","known_age","min_age"
"1",2013-02-19,"GM","J02","","EY40754","RMBO",NA,"","RINGED",1,"M","6","241","46.5",250,"","",NA,0,1,1,"J07","","","30-12-1899 14:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"2",2013-02-19,"GM","J03","","EY40755","RMSRZ",NA,"","RINGED",1,"M","6","240","45.7",255,"","",NA,0,1,1,"","","","30-12-1899 15:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"3",2013-02-19,"AT","J04","","EY40756","RMGB",NA,"","RINGED",1,"M","6","248","46.2",254,"","",NA,0,1,1,"","","","30-12-1899 15:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"4",2013-02-19,"GM","J05","","EY40757","YMRZY",NA,"","RINGED",1,"M","5","223","45.0",227,"","",NA,0,1,1,"","","","30-12-1899 15:20:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,1,12
"5",2013-02-19,"AT","J06","","EY40758","RMYW",NA,"","RINGED",1,"M","6","240","46.2",258,"","",NA,0,1,1,"","","","30-12-1899 15:40:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"6",2013-02-19,"GM","J07","","EY40759","RMBZRZ",NA,"","RINGED",1,"F","6","230","44.4",217,"","",NA,0,1,1,"J02","","","30-12-1899 15:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"7",2013-03-05,"GM","J08","","EY40760","RMYR",NA,"","RINGED",1,"M","6","248","46.2",259,"","",NA,0,1,1,"","","","30-12-1899 17:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Farm cat in trap.",2013,0,13
"8",2013-03-05,"GM","J09","","EY40761","RMWO",NA,"","RINGED",1,"F","6","226","45.0",229,"","",NA,0,1,1,"","","","30-12-1899 17:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Farm cat in trap.",2013,0,13
"9",2013-03-05,"GM","J10","","EY40762","RMYG",NA,"","RINGED",1,"M","6","232","41.6",211,"","",NA,0,1,1,"","","","30-12-1899 18:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Farm cat in trap.",2013,0,13
"10",2013-03-05,"GM","J11","","EY40763","RMWGZ",NA,"","RINGED",1,"M","6","240","45.2",274,"","",NA,0,1,1,"","","","30-12-1899 18:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Farm cat in trap.",2013,0,13
"11",2013-03-18,"GM","J12","","EY40764","RMSG",NA,"","RINGED",1,"F","6","222","41.6",198,"","","N",0,1,1,"","","","30-12-1899 11:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
