"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"1","Z30","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"2","Y27","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"3","Z15","2022-04-15","Incubation","Z",3,0,1.97619047619048,0,NA,NA,NA
"4","Y15","2022-04-15",NA,"Y",0,0,-0.971428571428571,0,NA,NA,NA
"5","Z24","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"6","Z14","2022-04-15","Incubation","Z",4,0,2.97619047619048,0,NA,NA,NA
"7","X33","2022-04-15","Incubation","X",2,0,1,0,NA,NA,NA
"8","Y06","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"9","Y19","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"10","Y25","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"11","X31","2022-04-15","Incubation","X",4,0,3,0,NA,NA,NA
"12","Z06","2022-04-15","Incubation","Z",3,0,1.97619047619048,0,NA,NA,NA
"13","Z20","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"14","X25","2022-04-15","Incubation","X",3,0,2,0,NA,NA,NA
"15","Y01","2022-04-15","Incubation","Y",1,0,0.0285714285714286,0,NA,NA,NA
"16","Y18","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"17","Y09","2022-04-15","Incubation","Y",2,0,1.02857142857143,0,NA,NA,NA
"18","Y07","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"19","Y29","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"20","Y10","2022-04-15","Incubation","Y",5,0,4.02857142857143,0,NA,NA,NA
"21","X32","2022-04-15","Pre-Lay","X",0,0,-1,0,NA,NA,NA
"22","Y28","2022-04-15","Incubation","Y",2,0,1.02857142857143,0,NA,NA,NA
"23","Y02","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
"24","Y03","2022-04-15","Pre-Lay","Y",0,0,-0.971428571428571,0,NA,NA,NA
