Column1;box;JID;Start_day;First_broken;Repaired;Time_Out
1;Z41;J2969;09-04-23;09-04-23;09-04-23;0
2;Y17;J3693;09-04-23;09-04-23;09-04-23;0
3;Z32;J1093;09-04-23;09-04-23;20-04-23;11
4;Y33;J1902;09-04-23;09-04-23;21-04-23;12
5;Y09;J2403;09-04-23;09-04-23;16-05-23;37
6;Y09;J3467;09-04-23;09-04-23;16-05-23;37
7;Z44;J587;09-04-23;09-04-23;17-05-23;38
8;Z45;J3508;09-04-23;18-04-23;18-05-23;30
9;Z16;J1001;09-04-23;09-04-23;18-05-23;39
10;Z31;J2701;09-04-23;09-04-23;18-05-23;39
11;X25;J3461;09-04-23;09-04-23;06-06-23;58
12;X23;J3326;09-04-23;09-04-23;06-06-23;58
13;Y32;J1529;09-04-23;09-04-23;08-06-23;60
14;Z27;J1222;09-04-23;23-05-23;14-06-23;22
15;Z23;J2500;09-04-23;09-04-23;10-06-23;62
16;Y02;J2488;09-04-23;18-05-23;30-05-23;12
17;Z13;J837;09-04-23;09-04-23;10-04-23;1
18;Z17;J990;09-04-23;09-04-23;13-04-23;4
19;Z06;J3715;09-04-23;09-04-23;13-04-23;4
20;X35;J3479;09-04-23;09-04-23;15-04-23;6
21;Y30;J2460;09-04-23;09-04-23;17-04-23;8
22;Z10;J1351;09-04-23;09-04-23;20-04-23;11
24;Y03;J3283;09-04-23;14-05-23;27-05-23;13
25;Z13;J837;09-04-23;23-05-23;31-12-23;323
26;X31;J4950;09-04-23;05-06-23;31-12-23;
27;Y27;J1056;09-04-23;23-05-23;31-12-23;
28;Z22;J1556;09-04-23;04-06-23;31-12-23;
29;Z35;J2415;09-04-23;02-06-23;31-12-23;
30;Z40;J980;09-04-23;28-05-23;31-12-23;
31;X18;J4508;09-04-23;09-04-23;31-12-23;
32;Y28;J1532;09-04-23;09-05-23;31-12-23;
33;Y31;J2072;09-04-23;02-05-23;31-12-23;
34;Y34;J1602;09-04-23;03-05-23;31-12-23;
