"","BOX","year","fledglings","fledgling_mass","site","fledgling_massDev"
"1","M03",2023,0,0,"MEUDON",0
"2","MW01",2023,0,224.5,"MAWGAN",-85.6
"3","MW02",2020,0,372.9,"MAWGAN",0
"4","MW02",2021,0,547.1,"MAWGAN",0
"5","MW02",2022,0,676.5,"MAWGAN",0
"6","MW02",2023,2,705.8,"MAWGAN",395.7
"7","MW06",2023,0,0,"MAWGAN",-310.1
"8","X01",2014,1,208.3,"CAMPUS",-130.663636363636
"9","X01",2015,1,154.8,"CAMPUS",-217.111111111111
"10","X01",2016,2,276.3,"CAMPUS",-172.209090909091
"11","X01",2017,0,116.7,"CAMPUS",-175.681818181818
"12","X01",2019,0,0,"CAMPUS",-334.754545454545
"13","X18",2022,2,357.1,"CAMPUS",76.1928571428572
"14","X18",2023,0,257.9,"CAMPUS",-1.79285714285714
"15","X18",2024,0,0,"CAMPUS",0
"16","X20",2021,1,155.2,"CAMPUS",-48.9923076923077
"17","X20",2022,1,204.8,"CAMPUS",-76.1071428571428
"18","X20",2023,0,0,"CAMPUS",-259.692857142857
"19","X21",2020,0,406.7,"CAMPUS",113.658333333333
"20","X21",2021,2,448.9,"CAMPUS",244.707692307692
"21","X21",2022,1,186,"CAMPUS",-94.9071428571428
"22","X21",2023,0,133.7,"CAMPUS",-125.992857142857
"23","X22",2020,0,231.8,"CAMPUS",-61.2416666666667
"24","X22",2021,1,201.4,"CAMPUS",-2.79230769230767
"25","X22",2022,2,427.3,"CAMPUS",146.392857142857
"26","X22",2023,2,423.7,"CAMPUS",164.007142857143
"27","X23",2013,0,0,"CAMPUS",-112.833333333333
"28","X23",2016,0,0,"CAMPUS",-448.509090909091
"29","X23",2017,0,0,"CAMPUS",-292.381818181818
"30","X23",2018,2,398.9,"CAMPUS",42.08
"31","X23",2019,1,249.8,"CAMPUS",-84.9545454545454
"32","X23",2020,0,371.1,"CAMPUS",78.0583333333333
"33","X23",2021,0,0,"CAMPUS",-204.192307692308
"34","X23",2022,0,0,"CAMPUS",-280.907142857143
"35","X23",2023,2,411.1,"CAMPUS",151.407142857143
"36","X25",2013,1,176,"CAMPUS",63.1666666666667
"37","X25",2014,3,532.6,"CAMPUS",193.636363636364
"38","X25",2015,3,524.9,"CAMPUS",152.988888888889
"39","X25",2016,3,578.9,"CAMPUS",130.390909090909
"40","X25",2017,2,291.9,"CAMPUS",-0.481818181818198
"41","X25",2018,2,377.6,"CAMPUS",20.78
"42","X25",2019,2,398.3,"CAMPUS",63.5454545454545
"43","X25",2020,0,260.7,"CAMPUS",-32.3416666666667
"44","X25",2021,0,0,"CAMPUS",-204.192307692308
"45","X25",2022,2,428,"CAMPUS",147.092857142857
"46","X25",2023,2,517.2,"CAMPUS",257.507142857143
"47","X27",2014,2,397.2,"CAMPUS",58.2363636363636
"48","X27",2015,3,470,"CAMPUS",98.0888888888889
"49","X27",2016,4,626.9,"CAMPUS",178.390909090909
"50","X27",2017,1,235.7,"CAMPUS",-56.6818181818182
"51","X27",2018,3,632.2,"CAMPUS",275.38
"52","X27",2019,3,578.9,"CAMPUS",244.145454545455
"53","X27",2020,0,573.6,"CAMPUS",280.558333333333
"54","X27",2021,2,471.9,"CAMPUS",267.707692307692
"55","X27",2022,0,0,"CAMPUS",-280.907142857143
"56","X27",2023,2,408.8,"CAMPUS",149.107142857143
"57","X28",2014,0,0,"CAMPUS",-338.963636363636
"58","X31",2013,1,181.6,"CAMPUS",68.7666666666667
"59","X31",2014,0,0,"CAMPUS",-338.963636363636
"60","X31",2016,2,358.7,"CAMPUS",-89.8090909090909
"61","X31",2017,2,319.8,"CAMPUS",27.4181818181818
"62","X31",2018,0,0,"CAMPUS",-356.82
"63","X31",2019,1,252.6,"CAMPUS",-82.1545454545455
"64","X31",2020,0,241.2,"CAMPUS",-51.8416666666667
"65","X31",2021,0,0,"CAMPUS",-204.192307692308
"66","X31",2022,1,264,"CAMPUS",-16.9071428571428
"67","X31",2023,1,342.6,"CAMPUS",82.9071428571429
"68","X32",2013,2,319.4,"CAMPUS",206.566666666667
"69","X32",2015,1,216.9,"CAMPUS",-155.011111111111
"70","X32",2016,2,386.6,"CAMPUS",-61.9090909090909
"71","X32",2017,3,633.7,"CAMPUS",341.318181818182
"72","X32",2018,2,426.7,"CAMPUS",69.8800000000001
"73","X32",2019,2,432,"CAMPUS",97.2454545454545
"74","X32",2020,0,242.6,"CAMPUS",-50.4416666666667
"75","X32",2021,1,213.6,"CAMPUS",9.40769230769232
"76","X32",2022,1,198.5,"CAMPUS",-82.4071428571428
"77","X32",2023,2,472,"CAMPUS",212.307142857143
"78","X33",2013,0,0,"CAMPUS",-112.833333333333
"79","X33",2014,0,0,"CAMPUS",-338.963636363636
"80","X33",2015,2,369.8,"CAMPUS",-2.11111111111109
"81","X33",2016,2,395.8,"CAMPUS",-52.7090909090909
"82","X33",2017,2,306.7,"CAMPUS",14.3181818181818
"83","X33",2018,0,0,"CAMPUS",-356.82
"84","X33",2019,1,203,"CAMPUS",-131.754545454545
"85","X33",2020,0,407.3,"CAMPUS",114.258333333333
"86","X33",2021,1,279.1,"CAMPUS",74.9076923076923
"87","X33",2022,2,353,"CAMPUS",72.0928571428572
"88","X33",2023,1,258.8,"CAMPUS",-0.89285714285711
"89","X35",2014,2,471.3,"CAMPUS",132.336363636364
"90","X35",2015,2,456.4,"CAMPUS",84.4888888888889
"91","X35",2016,2,508.4,"CAMPUS",59.8909090909091
"92","X35",2017,2,390.5,"CAMPUS",98.1181818181818
"93","X35",2018,2,448.9,"CAMPUS",92.08
"94","X35",2019,2,364.5,"CAMPUS",29.7454545454545
"95","X35",2020,0,163.5,"CAMPUS",-129.541666666667
"96","X35",2021,2,308.5,"CAMPUS",104.307692307692
