"","box","JID","sex","year"
"1","Y01","J1171","M",2022
"2","Y02","J3694","M",2022
"3","Y03","J4666","M",2022
"4","Y04","J3749","M",2022
"5","Y08","J3692","M",2022
"6","Y11","J2463","M",2022
"7","Y12","J971","M",2022
"8","Y14","J3693","M",2022
"9","Y16","J1911","M",2022
"10","Y17","J2943","M",2022
"11","Y18","J1521","M",2022
"12","Y21","J2961","M",2022
"13","Y22","J4646","M",2022
"14","Y23","J1480","M",2022
"15","Y25","J972","M",2022
"16","Y26","J2941","M",2022
"17","Y27","J4521","M",2022
"18","Y28","J1532","M",2022
"19","Y30","J625","M",2022
"20","Y31","J3473","M",2022
"21","Y32","J1529","M",2022
"22","Y33","J1368","M",2022
"23","Y34","J1602","M",2022
"24","Y35","J1352","M",2022
"25","Z02","J3383","M",2022
"26","Z03","J2395","M",2022
"27","Z05","J2149","M",2022
"28","Z08","J4535","M",2022
"29","Z09","J145","M",2022
"30","Z10","J1351","M",2022
"31","Z11","J595","M",2022
"32","Z13","J837","M",2022
"33","Z15","J831","M",2022
"34","Z16","J2077","M",2022
"35","Z17","J909","M",2022
"36","Z18","J1065","M",2022
"37","Z19","J1259","M",2022
"38","Z20","J640","M",2022
"39","Z22","J1898","M",2022
"40","Z23","J1096","M",2022
"41","Z24","J289","M",2022
"42","Z25","J2168","M",2022
"43","Z26","J4520","M",2022
"44","Z27","J899","M",2022
"45","Z28","J2039","M",2022
"46","Z29","J1463","M",2022
"47","Z30","J3699","M",2022
"48","Z31","J992","M",2022
"49","Z32","J1093","M",2022
"50","Z33","J1458","M",2022
"51","Z35","J1627","M",2022
"52","Z41","J2331","M",2022
"53","Y01","J1031","F",2022
"54","Y02","J1506","F",2022
"55","Y03","J3283","F",2022
"56","Y04","J2994","F",2022
"57","Y08","J1182","F",2022
"58","Y11","J1366","F",2022
"59","Y12","J1903","F",2022
"60","Y14","J1325","F",2022
"61","Y16","J4513","F",2022
"62","Y17","J2980","F",2022
"63","Y18","J3698","F",2022
"64","Y21","J2485","F",2022
"65","Y22","J4645","F",2022
"66","Y23","J505","F",2022
"67","Y25","J1893","F",2022
"68","Y26","J2952","F",2022
"69","Y27","J1056","F",2022
"70","Y28","J1618","F",2022
"71","Y30","J2460","F",2022
"72","Y31","J2392","F",2022
"73","Y32","J1046","F",2022
"74","Y33","J1902","F",2022
"75","Y34","J1317","F",2022
"76","Y35","J793","F",2022
"77","Z02","J3631","F",2022
"78","Z03","J1154","F",2022
"79","Z05","J2951","F",2022
"80","Z08","J4510","F",2022
"81","Z09","J41","F",2022
"82","Z10","J42","F",2022
"83","Z11","J1964","F",2022
"84","Z13","J2375","F",2022
"85","Z15","J164","F",2022
"86","Z16","J1001","F",2022
"87","Z17","J990","F",2022
"88","Z18","J1419","F",2022
"89","Z19","J1337","F",2022
"90","Z20","J664","F",2022
"91","Z22","J1375","F",2022
"92","Z23","J2394","F",2022
"93","Z24","J218","F",2022
"94","Z25","J2500","F",2022
"95","Z26","J4511","F",2022
"96","Z27","J692","F",2022
"97","Z28","J1979","F",2022
"98","Z29","J2377","F",2022
"99","Z30","J1973","F",2022
"100","Z31","J1959","F",2022
"101","Z32","J1916","F",2022
"102","Z33","J1908","F",2022
"103","Z35","J2415","F",2022
"104","Z41","J2969","F",2022
"105","Y01","J1171","M",2023
"106","Y02","J2488","M",2023
"107","Y03","J4666","M",2023
"108","Y04","J3749","M",2023
"109","Y05","J4111","M",2023
"110","Y06","J516","M",2023
"111","Y07","J2391","M",2023
"112","Y08","J3692","M",2023
"113","Y09","J3467","M",2023
"114","Y10","J104","M",2023
"115","Y11","J2463","M",2023
"116","Y12","J971","M",2023
"117","Y14","J2943","M",2023
"118","Y16","J5087","M",2023
"119","Y17","J3693","M",2023
"120","Y18","J1521","M",2023
"121","Y19","J4574","M",2023
"122","Y20","J5504","M",2023
"123","Y21","J2961","M",2023
"124","Y22","J4646","M",2023
"125","Y23","J1480","M",2023
"126","Y24","J494","M",2023
"127","Y25","J972","M",2023
"128","Y26","J2941","M",2023
"129","Y27","J4521","M",2023
"130","Y28","J1532","M",2023
"131","Y29","J446","M",2023
"132","Y30","J625","M",2023
"133","Y31","J2072","M",2023
"134","Y32","J1529","M",2023
"135","Y33","J1368","M",2023
"136","Y34","J1602","M",2023
"137","Y35","J2126","M",2023
"138","Z02","J3383","M",2023
"139","Z03","J2395","M",2023
"140","Z05","J2149","M",2023
"141","Z06","J3702","M",2023
"142","Z07","J618","M",2023
"143","Z08","J4535","M",2023
"144","Z10","J1351","M",2023
"145","Z11","J595","M",2023
"146","Z13","J837","M",2023
"147","Z14","J145","M",2023
"148","Z15","J831","M",2023
"149","Z16","J2077","M",2023
"150","Z17","J909","M",2023
"151","Z18","J1065","M",2023
"152","Z19","J2619","M",2023
"153","Z20","J640","M",2023
"154","Z21","J2981","M",2023
"155","Z22","J1898","M",2023
"156","Z23","J2168","M",2023
"157","Z24","J289","M",2023
"158","Z25","J1096","M",2023
"159","Z26","J4520","M",2023
"160","Z27","J899","M",2023
"161","Z28","J2039","M",2023
"162","Z29","J1463","M",2023
"163","Z30","J3699","M",2023
"164","Z31","J2396","M",2023
"165","Z32","J1093","M",2023
"166","Z33","J1458","M",2023
"167","Z35","J1627","M",2023
"168","Z38","J933","M",2023
"169","Z39","J1345","M",2023
