"","site","date","phase"
"1","",2022-03-29,NA
"2","",2022-03-30,NA
"3","",2022-03-31,NA
"4","",2022-04-01,NA
"5","",2022-04-02,NA
"6","",2022-04-03,NA
"7","",2022-04-04,NA
"8","",2022-04-05,NA
"9","",2022-04-06,NA
"10","",2022-04-07,NA
"11","",2022-04-08,NA
"12","",2022-04-09,NA
"13","",2022-04-10,NA
"14","",2022-04-11,NA
"15","",2022-04-12,NA
"16","",2022-04-13,NA
"17","",2022-04-14,NA
"18","",2022-04-15,NA
"19","",2022-04-16,NA
"20","",2022-04-17,NA
"21","",2022-04-18,NA
"22","",2022-04-19,NA
"23","",2022-04-20,NA
"24","",2022-04-21,NA
"25","",2022-04-22,NA
"26","",2022-04-23,NA
"27","",2022-04-24,NA
"28","",2022-04-25,NA
"29","",2022-04-26,NA
"30","",2022-04-27,NA
"31","",2022-04-28,NA
"32","",2022-04-29,NA
"33","",2022-04-30,NA
"34","",2022-05-01,NA
"35","",2022-05-02,NA
"36","",2022-05-03,NA
"37","",2022-05-04,NA
"38","",2022-05-05,NA
"39","",2022-05-06,NA
"40","",2022-05-07,NA
"41","",2022-05-08,NA
"42","",2022-05-09,NA
"43","",2022-05-10,NA
"44","",2022-05-11,NA
"45","",2022-05-12,NA
"46","",2022-05-13,NA
"47","",2022-05-14,NA
"48","",2022-05-15,NA
"49","",2022-05-16,NA
"50","",2022-05-17,NA
"51","",2022-05-18,NA
"52","",2022-05-19,NA
"53","",2022-05-20,NA
"54","",2022-05-21,NA
"55","",2022-05-22,NA
"56","",2022-05-23,NA
"57","",2022-05-24,NA
"58","",2022-05-25,NA
"59","",2022-05-26,NA
"60","",2022-05-27,NA
"61","",2022-05-28,NA
"62","",2022-05-29,NA
"63","",2022-05-30,NA
"64","",2022-05-31,NA
"65","",2022-06-01,NA
"66","",2022-06-02,NA
"67","",2022-06-03,NA
"68","",2022-06-04,NA
"69","",2022-06-05,NA
"70","",2022-06-06,NA
"71","",2022-06-07,NA
"72","",2022-06-08,NA
"73","",2022-06-09,NA
"74","",2022-06-10,NA
"75","",2022-06-11,NA
"76","",2022-06-12,NA
"77","",2022-06-13,NA
"78","",2022-06-14,NA
"79","",2022-06-15,NA
"80","",2022-06-16,NA
"81","",2022-06-17,NA
"82","",2022-06-18,NA
"83","",2022-06-19,NA
"84","",2022-06-20,NA
"85","",2022-06-21,NA
"86","",2022-06-22,NA
"87","",2022-06-23,NA
"88","",2022-06-24,NA
"89","",2022-06-25,NA
"90","",2022-06-26,NA
"91","",2022-06-27,NA
"92","",2022-06-28,NA
"93","",2022-06-29,NA
"94","",2023-03-25,NA
"95","",2023-03-26,NA
"96","",2023-03-27,NA
"97","",2023-03-28,NA
"98","",2023-03-29,NA
"99","",2023-03-30,NA
"100","",2023-03-31,NA
"101","",2023-04-01,NA
"102","",2023-04-02,NA
"103","",2023-04-03,NA
"104","",2023-04-04,NA
"105","",2023-04-05,NA
"106","",2023-04-06,NA
"107","",2023-04-07,NA
"108","",2023-04-08,NA
"109","",2023-04-09,NA
"110","",2023-04-10,NA
"111","",2023-04-11,NA
"112","",2023-04-12,NA
"113","",2023-04-13,NA
"114","",2023-04-14,NA
"115","",2023-04-15,NA
"116","",2023-04-16,NA
"117","",2023-04-17,NA
"118","",2023-04-18,NA
"119","",2023-04-19,NA
"120","",2023-04-20,NA
"121","",2023-04-21,NA
"122","",2023-04-22,NA
"123","",2023-04-23,NA
"124","",2023-04-24,NA
"125","",2023-04-25,NA
"126","",2023-04-26,NA
"127","",2023-04-27,NA
"128","",2023-04-28,NA
"129","",2023-04-29,NA
"130","",2023-04-30,NA
"131","",2023-05-01,NA
"132","",2023-05-02,NA
"133","",2023-05-03,NA
"134","",2023-05-04,NA
"135","",2023-05-05,NA
"136","",2023-05-06,NA
"137","",2023-05-07,NA
"138","",2023-05-08,NA
"139","",2023-05-09,NA
"140","",2023-05-10,NA
"141","",2023-05-11,NA
"142","",2023-05-12,NA
"143","",2023-05-13,NA
"144","",2023-05-14,NA
"145","",2023-05-15,NA
"146","",2023-05-16,NA
"147","",2023-05-17,NA
"148","",2023-05-18,NA
"149","",2023-05-19,NA
"150","",2023-05-20,NA
"151","",2023-05-21,NA
"152","",2023-05-22,NA
"153","",2023-05-23,NA
"154","",2023-05-24,NA
"155","",2023-05-25,NA
"156","",2023-05-26,NA
"157","",2023-05-27,NA
"158","",2023-05-28,NA
"159","",2023-05-29,NA
"160","",2023-05-30,NA
"161","",2023-05-31,NA
"162","",2023-06-01,NA
"163","",2023-06-02,NA
"164","",2023-06-03,NA
"165","",2023-06-04,NA
"166","",2023-06-05,NA
"167","",2023-06-06,NA
"168","",2023-06-07,NA
"169","",2023-06-08,NA
"170","",2023-06-09,NA
"171","",2023-06-10,NA
"172","",2023-06-11,NA
"173","",2023-06-12,NA
"174","",2023-06-13,NA
"175","",2023-06-14,NA
"176","",2023-06-15,NA
"177","",2023-06-16,NA
"178","",2023-06-17,NA
"179","",2023-06-18,NA
"180","",2023-06-19,NA
"181","",2023-06-20,NA
"182","",2023-06-21,NA
"183","",2023-06-22,NA
"184","",2023-06-23,NA
"185","",2023-06-24,NA
"186","",2023-06-25,NA
"187","",2023-06-26,NA
"188","",2023-06-27,NA
"189","",2023-06-28,NA
"190","",2023-06-29,NA
"191","",2023-06-30,NA
"192","",2023-07-01,NA
"193","",2023-07-02,NA
"194","",2023-07-03,NA
"195","",2023-07-04,NA
"196","M",2022-03-29,NA
"197","M",2022-03-30,NA
"198","M",2022-03-31,NA
"199","M",2022-04-01,NA
"200","M",2022-04-02,NA
"201","M",2022-04-03,NA
"202","M",2022-04-04,NA
"203","M",2022-04-05,NA
"204","M",2022-04-06,NA
"205","M",2022-04-07,NA
"206","M",2022-04-08,NA
"207","M",2022-04-09,NA
"208","M",2022-04-10,NA
"209","M",2022-04-11,NA
"210","M",2022-04-12,NA
"211","M",2022-04-13,NA
"212","M",2022-04-14,NA
"213","M",2022-04-15,NA
"214","M",2022-04-16,NA
"215","M",2022-04-17,NA
"216","M",2022-04-18,NA
"217","M",2022-04-19,NA
"218","M",2022-04-20,NA
"219","M",2022-04-21,NA
"220","M",2022-04-22,NA
"221","M",2022-04-23,NA
"222","M",2022-04-24,NA
"223","M",2022-04-25,NA
"224","M",2022-04-26,NA
"225","M",2022-04-27,NA
"226","M",2022-04-28,NA
"227","M",2022-04-29,NA
"228","M",2022-04-30,NA
"229","M",2022-05-01,NA
"230","M",2022-05-02,NA
"231","M",2022-05-03,NA
"232","M",2022-05-04,NA
"233","M",2022-05-05,NA
"234","M",2022-05-06,NA
"235","M",2022-05-07,NA
"236","M",2022-05-08,NA
"237","M",2022-05-09,NA
"238","M",2022-05-10,NA
"239","M",2022-05-11,NA
"240","M",2022-05-12,NA
"241","M",2022-05-13,NA
"242","M",2022-05-14,NA
"243","M",2022-05-15,NA
"244","M",2022-05-16,NA
"245","M",2022-05-17,NA
"246","M",2022-05-18,NA
"247","M",2022-05-19,NA
"248","M",2022-05-20,NA
"249","M",2022-05-21,NA
"250","M",2022-05-22,NA
"251","M",2022-05-23,NA
